time,open,high,low,close,Volume
2023-03-23T09:30:00-04:00,395.09,399.29,390.35,393.17,119351319
2023-03-24T09:30:00-04:00,391.841,395.84,389.4,395.75,107770124
2023-03-27T09:30:00-04:00,398.12,398.92,395.56,396.49,74010408
2023-03-28T09:30:00-04:00,395.77,396.49,393.69,395.6,62871680
2023-03-29T09:30:00-04:00,399.925,401.6,398.68,401.35,77497876
2023-03-30T09:30:00-04:00,404.09,404.35,401.76,403.7,69840049
2023-03-31T09:30:00-04:00,404.66,409.7,404.55,409.39,112062624
2023-04-03T09:30:00-04:00,408.85,411.37,408.44,410.95,67391097
2023-04-04T09:30:00-04:00,411.62,411.92,407.24,408.67,66601534
2023-04-05T09:30:00-04:00,407.91,408.7,405.88,407.6,65200243
2023-04-06T09:30:00-04:00,406.77,409.48,405.678,409.19,63743345
2023-04-10T09:30:00-04:00,406.61,409.69,405.97,409.61,63681042
2023-04-11T09:30:00-04:00,410.26,411.18,408.92,409.72,59297945
2023-04-12T09:30:00-04:00,411.87,412.17,407.44,408.05,86420379
2023-04-13T09:30:00-04:00,409.18,413.84,407.9922,413.47,85814754
2023-04-14T09:30:00-04:00,412.81,415.09,410.06,412.46,78161500
2023-04-17T09:30:00-04:00,412.37,413.96,411.085,413.94,66436399
2023-04-18T09:30:00-04:00,415.58,415.72,412.7802,414.21,63559997
2023-04-19T09:30:00-04:00,412.22,415.08,412.16,414.14,55227330
2023-04-20T09:30:00-04:00,411.21,413.7,410.27,411.88,75840359
2023-04-21T09:30:00-04:00,412.19,412.68,410.17,412.2,73457422
2023-04-24T09:30:00-04:00,411.99,413.07,410.6,412.63,64332095
2023-04-25T09:30:00-04:00,410.58,411.16,406.02,406.08,97766721
2023-04-26T09:30:00-04:00,406.72,407.84,403.78,404.36,80447049
2023-04-27T09:30:00-04:00,407,412.69,406.74,412.41,92968369
2023-04-28T09:30:00-04:00,411.49,415.94,411.43,415.93,89412772
2023-05-01T09:30:00-04:00,415.47,417.62,415.265,415.51,62116465
2023-05-02T09:30:00-04:00,414.77,414.82,407.82,410.84,103970216
2023-05-03T09:30:00-04:00,411.36,413.87,407.77,408.02,91493446
2023-05-04T09:30:00-04:00,406.93,407.27,403.74,405.13,94886787
